,No_coRated_items
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,0
324,0
325,1
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
396,0
397,1
398,0
399,0
401,0
402,0
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,1
554,0
555,1
556,0
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,0
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,1
605,1
606,1
607,0
608,1
609,0
610,0
611,1
