,No_common_users
1,36
55,9
71,10
77,23
85,10
110,32
120,27
131,0
132,99
146,10
169,24
170,32
178,5
207,21
211,40
212,14
227,5
228,13
253,11
290,21
315,22
316,57
326,10
361,37
398,20
405,8
421,153
424,154
427,135
444,29
478,11
520,118
526,27
549,60
552,35
568,22
577,56
583,19
588,54
603,35
605,20
618,11
628,66
643,54
647,20
650,42
651,16
661,49
666,17
667,34
674,26
724,54
733,52
734,12
744,194
748,19
754,41
782,24
789,25
792,99
824,27
855,8
880,10
884,1
899,14
933,31
940,29
955,167
968,25
976,5
993,17
1005,11
1018,24
1019,26
1024,85
1028,113
1054,12
1067,2
1076,9
1083,25
1115,13
1127,11
1153,13
1170,12
1174,61
1188,17
1189,2
1222,158
1238,7
1269,8
1279,41
1285,18
1332,14
1335,25
1361,49
1371,12
1386,40
1394,5
1463,23
1475,17
1484,15
1511,10
1512,26
1566,98
1587,53
1588,158
1616,135
1623,14
1629,125
1643,127
1644,149
1654,11
1661,20
1665,80
1695,10
1707,82
1716,90
1756,21
1812,40
1834,31
1844,120
1853,7
1855,111
1897,9
1899,14
1904,39
1911,21
1925,69
1955,15
1980,41
2003,17
2006,47
2014,57
2017,10
2019,80
2039,3
2040,2
2052,16
2074,1
2079,3
2081,121
2102,4
2104,86
2108,16
2130,20
2140,59
2152,11
2166,32
2168,35
2170,39
2182,8
2200,24
2236,26
2256,33
2270,123
2285,38
2320,96
2321,40
2336,17
2348,6
2367,136
2405,35
2423,63
2442,3
2462,24
2481,43
2483,82
2485,14
2486,10
2503,10
2519,25
2526,6
2559,5
2606,64
2613,4
2626,49
2635,9
2637,3
2645,16
2653,36
2690,12
2697,9
2700,11
2703,52
2723,27
2750,28
2789,21
2799,4
2817,9
2850,4
2894,96
2907,6
2914,116
2918,36
2926,26
2935,22
2987,22
2994,17
2995,93
2996,7
3013,21
3049,27
3055,19
3083,13
3096,9
3118,15
3135,13
3140,13
3142,15
3152,42
3165,64
3168,6
3179,148
3192,55
3205,18
3216,13
3238,38
3239,33
3249,85
3255,55
3298,10
3300,19
3303,7
3336,2
3340,38
3358,13
3364,123
3384,80
3386,12
3401,15
3409,7
3429,49
3432,20
3436,11
3455,30
3466,30
3469,82
3493,3
3515,80
3548,55
3554,72
3556,59
3557,14
3566,12
3588,49
3598,14
3605,36
3617,85
3670,25
3671,108
3691,15
3710,19
3734,4
3735,11
3749,10
3760,79
3790,10
3793,15
3835,3
3868,27
3902,10
3915,26
3944,69
3955,14
3958,31
3962,6
3964,6
3993,20
3994,10
4006,26
4007,38
4012,20
4040,34
4052,35
4062,21
4064,11
4068,8
4085,18
4104,2
4121,7
4134,4
4172,50
4174,10
4210,10
4222,216
4232,3
4260,11
4264,26
4267,12
4280,8
4285,110
4309,120
4329,106
4332,98
4335,4
4360,26
4363,16
4374,53
4381,16
4396,10
4405,24
4408,6
4435,17
4452,19
4457,43
