,group_id
5837,1
72505,1
85399,1
81100,1
95034,1
111817,1
107958,1
7282,1
55106,1
26157,1
107982,1
34397,1
89277,1
125661,1
31447,1
26098,1
121211,1
92490,1
26210,1
58881,1
85307,1
5271,1
1740,1
1774,1
107217,1
1710,1
103614,1
112811,1
113220,1
97460,1
59180,1
71995,1
33132,1
126134,1
32088,1
100180,1
71112,1
112275,1
107743,1
84250,1
83916,1
8421,1
92676,1
8997,1
80719,1
80502,1
98381,1
119063,1
4551,1
8703,1
77990,1
109381,1
44777,1
88020,1
78006,1
65350,1
8871,1
98030,1
7120,1
116608,1
116951,1
27197,1
61818,1
128810,1
98481,1
83660,1
120468,1
25829,1
119705,1
25803,1
63617,1
93139,1
69753,1
26940,1
102009,1
90700,1
69469,1
101379,1
102590,1
9007,1
8122,1
86308,1
59295,1
8687,1
4461,1
5702,1
125916,1
6483,1
6740,1
2980,1
7244,1
8290,1
80144,1
73776,1
77910,1
104671,1
69446,1
95835,1
95796,1
6606,1
95748,1
128842,1
100538,1
128594,1
118972,1
27204,1
118916,1
76082,1
118762,1
128624,1
67980,1
101880,1
82581,1
76145,1
27327,1
104390,1
93659,1
120118,1
126136,1
100093,1
26295,1
675,1
96809,1
72109,1
103596,1
71482,1
126128,1
126158,1
80158,1
26160,1
126170,1
81711,1
70843,1
81744,1
72670,1
72784,1
122127,1
72958,1
70175,1
26806,1
73031,1
126599,1
6024,1
104870,1
73494,1
102908,1
102007,1
89963,1
33685,1
98294,1
33380,1
42659,1
8647,1
1137,1
79773,1
3312,1
50589,1
102201,1
6836,1
98439,1
2955,1
88001,1
59649,1
5724,1
88301,1
55406,1
55343,1
3280,1
6189,1
87105,2
108575,2
95193,2
39410,2
2224,2
109045,2
108280,2
8541,2
108146,2
89192,2
110380,2
6931,2
85997,2
54268,2
103186,2
85686,2
59795,2
88642,2
90284,2
79739,2
5402,2
87874,2
78132,2
3772,2
83334,2
27719,2
27699,2
27683,2
114659,2
106138,2
114875,2
65400,2
5813,2
65907,2
27488,2
44187,2
84260,2
129532,2
3750,2
106700,2
49979,2
