movieId,n_i
1,3524
2,1580
3,894
4,199
5,867
6,1724
7,894
8,110
9,295
10,2093
11,1304
12,275
13,117
14,451
15,213
16,1283
17,1541
18,364
19,1480
20,307
21,1704
22,711
23,322
24,566
25,1545
26,199
27,109
28,221
29,616
30,96
31,654
32,3177
33,6
34,2307
35,106
36,1513
37,4
38,40
39,1880
40,67
41,355
42,177
43,186
44,740
45,632
46,241
47,3115
48,954
49,11
50,3435
51,3
52,658
53,11
54,67
55,68
56,7
57,156
58,890
59,14
60,496
61,167
62,1425
63,173
64,134
65,347
66,157
67,15
68,95
69,299
70,890
71,92
72,87
73,212
74,255
75,29
76,267
77,22
78,90
79,416
80,44
81,228
82,201
83,47
84,15
85,212
86,309
87,66
88,342
89,237
90,18
92,171
93,139
94,250
95,1581
96,39
97,149
98,5
99,62
100,304
101,303
102,146
103,89
104,1267
105,712
106,8
107,459
108,9
109,1
110,3928
111,1763
112,849
113,86
114,24
115,3
116,67
117,91
118,78
119,13
120,11
121,74
122,275
123,184
124,24
125,247
126,102
127,5
128,5
129,18
130,1
131,17
132,168
134,2
135,422
136,11
137,20
138,14
139,1
140,362
141,1575
142,4
143,2
144,306
145,849
146,43
147,293
148,27
149,90
150,3434
151,900
152,51
153,2352
154,232
155,89
156,111
157,176
158,923
159,168
160,1082
161,1722
162,443
163,966
164,331
165,2435
166,40
167,6
168,863
169,248
170,571
171,107
172,904
173,1081
174,152
175,337
176,178
177,173
178,36
179,78
180,620
181,193
182,51
183,48
184,26
185,1801
186,802
187,73
188,205
189,24
190,85
191,102
192,6
193,526
194,432
195,226
196,984
197,11
198,684
199,113
200,26
201,26
202,23
203,407
204,613
205,96
206,93
207,417
208,1986
209,49
210,38
211,52
212,34
213,127
214,65
215,390
216,606
217,75
218,304
219,55
220,24
222,424
223,1755
224,635
225,930
226,4
227,325
228,47
229,191
230,549
231,2323
232,421
233,253
234,233
235,1195
236,879
237,460
238,47
239,220
240,63
241,38
242,80
243,36
244,24
245,24
246,744
247,585
248,221
249,352
250,69
251,31
252,711
253,1973
254,45
255,65
256,682
257,264
258,131
259,123
260,3921
261,732
262,292
263,32
264,11
265,888
266,1157
267,276
268,51
269,43
270,105
271,82
272,584
273,499
274,84
275,106
276,397
277,675
278,80
279,55
280,371
281,261
282,777
283,23
284,5
285,9
286,10
287,21
288,1718
289,237
290,314
291,41
292,1907
293,1830
294,66
295,38
296,4886
297,21
298,21
299,197
300,1465
301,40
302,113
303,508
304,52
305,259
306,537
307,513
308,394
309,29
310,17
311,6
312,117
313,101
314,299
315,814
316,2254
317,1220
318,4571
319,491
320,34
321,74
322,204
324,30
325,71
326,91
327,490
328,182
329,1853
330,119
331,43
332,160
333,783
334,140
335,37
336,25
337,1320
338,322
339,1681
340,102
341,39
342,823
343,60
344,2756
345,732
346,84
347,108
348,598
349,2116
350,1159
351,254
352,104
353,1181
354,99
355,684
356,4748
357,1983
358,159
359,20
360,140
361,337
362,549
363,50
364,2784
365,122
366,202
367,2446
368,1232
369,87
370,1004
371,298
372,580
373,263
374,364
375,21
376,778
377,3000
378,156
379,390
380,3143
381,345
382,379
383,338
384,41
385,12
386,20
387,43
388,50
389,13
390,61
391,26
392,18
393,142
394,6
396,3
397,11
398,5
399,1
401,2
402,2
404,9
405,251
406,3
407,154
408,55
409,27
410,1317
411,10
412,337
413,422
414,65
415,225
416,117
417,235
418,53
419,321
420,1093
421,119
422,107
423,156
424,53
425,75
426,248
427,242
428,348
429,100
430,16
431,648
432,924
433,98
434,1722
435,988
436,82
437,138
438,69
439,2
440,1394
441,574
442,1331
443,40
444,89
445,141
446,263
447,19
448,209
449,63
450,193
451,48
452,88
453,62
454,1873
455,596
456,71
457,3581
458,61
459,86
460,56
461,52
462,15
463,28
464,221
465,48
466,944
467,59
468,529
469,98
470,34
471,795
472,44
473,89
474,1380
475,628
476,23
477,309
478,16
479,84
480,4312
481,386
482,182
483,53
484,46
485,968
486,47
487,47
488,38
489,206
490,242
491,374
492,208
493,299
494,894
495,53
496,26
497,985
498,30
499,32
500,2436
501,126
502,267
503,11
504,81
505,104
506,113
507,243
508,1340
509,1231
510,51
511,134
512,86
513,41
514,335
515,762
516,251
517,259
518,95
519,347
520,1037
521,167
522,100
523,74
524,518
525,10
526,8
527,3612
528,58
529,776
530,4
531,555
532,404
533,272
534,354
535,443
536,44
537,240
538,349
539,2082
540,346
541,2218
542,243
543,867
544,153
545,2
546,381
547,57
548,183
549,120
550,225
551,1471
552,903
553,1038
554,35
555,1119
556,77
558,115
559,8
560,1
561,13
562,445
563,22
564,23
565,61
566,15
567,21
568,16
569,114
570,12
571,20
572,2
573,9
574,99
575,190
576,1
577,47
579,4
580,47
581,143
582,11
583,13
584,1
585,701
586,2039
587,2116
588,2973
589,3787
590,3182
591,2
592,3321
593,4567
594,1293
595,2495
596,978
597,2441
598,9
599,240
600,30
601,12
602,26
603,34
605,235
606,128
607,3
608,3126
609,188
610,564
611,135
612,116
613,192
614,5
615,46
616,588
617,44
618,27
619,50
621,32
623,2
624,4
625,1
626,40
627,130
628,791
629,1
630,26
631,152
632,23
633,25
634,27
635,83
637,420
638,43
639,85
640,239
641,7
643,2
644,2
645,22
647,546
648,2645
649,12
650,97
651,2
652,5
653,992
654,1
655,1
656,83
657,2
658,3
659,37
660,10
661,752
662,200
663,230
664,24
665,88
666,15
667,65
668,63
670,47
671,460
672,2
673,710
674,266
675,1
676,2
678,198
679,9
680,87
681,33
682,5
684,1
685,50
687,7
688,201
690,5
691,75
692,81
693,2
694,194
695,68
696,11
697,73
698,12
699,1
700,88
701,5
702,30
703,27
704,123
705,35
706,16
707,342
708,1083
709,192
710,87
711,171
712,18
713,12
714,245
715,43
716,29
717,6
718,88
719,548
720,603
721,1
722,32
723,2
724,620
725,115
726,40
728,285
729,8
730,4
731,65
732,20
733,2274
734,3
735,90
736,2371
737,328
738,2
739,1
741,477
742,142
743,415
744,4
745,895
746,29
747,80
748,380
749,4
750,1752
751,11
752,2
753,37
754,33
755,13
756,11
757,25
758,3
759,41
760,80
761,273
762,680
763,6
764,51
765,365
766,140
767,26
768,4
769,12
771,13
772,4
773,8
774,6
775,16
776,4
777,1
778,1704
779,43
780,3383
781,154
782,180
783,749
784,969
785,722
786,1161
787,8
788,1291
789,7
790,12
791,10
793,6
794,5
795,10
796,4
797,7
798,218
799,445
800,530
801,113
802,867
803,43
804,138
805,783
806,42
807,15
808,71
809,105
810,145
813,26
815,5
816,7
818,223
819,3
820,5
821,5
822,4
823,9
824,36
827,11
828,115
829,136
830,490
831,12
832,1050
833,99
834,11
835,79
836,328
837,404
838,548
839,262
840,41
841,34
842,142
843,5
844,10
845,8
846,33
847,8
848,145
849,558
850,15
851,108
852,741
853,13
854,17
855,4
856,4
857,3
858,2989
859,5
860,27
861,178
862,28
864,6
865,7
866,441
867,33
868,4
869,37
870,34
871,8
872,3
873,6
874,8
875,44
876,26
877,12
878,5
879,156
880,378
881,91
882,44
884,7
885,49
886,119
887,3
888,56
889,9
891,134
892,97
893,46
895,5
896,26
897,81
898,495
899,815
900,231
901,117
902,730
903,1062
904,1310
905,311
906,172
907,75
908,1207
909,412
910,816
911,320
912,1799
913,912
914,747
915,378
916,451
917,85
918,143
919,1748
920,1050
921,193
922,516
923,1326
924,1907
925,13
926,369
927,61
928,341
929,75
930,374
931,169
932,153
933,345
934,259
935,49
936,111
937,41
938,134
939,7
940,306
941,80
942,199
943,138
944,106
945,171
946,112
947,119
948,142
949,184
950,252
951,290
952,196
953,1049
954,413
955,339
956,33
957,22
958,13
959,30
960,15
961,17
962,8
963,39
964,27
965,302
966,15
967,15
968,638
969,809
970,28
971,236
972,9
973,73
974,14
976,41
977,1
979,5
980,14
981,27
982,59
983,2
984,26
985,5
986,218
987,28
988,38
989,3
990,66
991,196
992,21
993,16
994,383
996,270
997,21
998,57
999,222
1000,10
1001,3
1002,11
1003,123
1004,122
1005,131
1006,110
1007,116
1008,51
1009,189
1010,201
1011,102
1012,252
1013,335
1014,124
1015,263
1016,115
1017,252
1018,71
1019,461
1020,466
1021,255
1022,652
1023,231
1024,83
1025,393
1026,7
1027,537
1028,1044
1029,670
1030,241
1031,300
1032,595
1033,272
1034,104
1035,1060
1036,2236
1037,518
1038,17
1039,7
1040,16
1041,425
1042,587
1043,93
1044,35
1045,5
1046,100
1047,622
1049,388
1050,114
1051,90
1052,4
1053,18
1054,68
1055,23
1056,58
1057,251
1058,11
1059,711
1060,703
1061,646
1062,3
1063,14
1064,195
1065,2
1066,94
1067,11
1068,32
1069,66
1070,10
1071,4
1073,2017
1075,8
1076,40
1077,556
