userId,n_u
1,175
55,30
71,45
77,100
85,69
110,64
120,48
131,431
132,335
146,22
169,139
170,203
178,48
207,56
211,63
212,50
227,21
228,35
253,42
290,84
315,65
316,129
326,21
361,80
398,70
405,21
421,465
424,918
427,298
444,51
478,67
520,458
526,87
549,211
552,109
568,36
577,177
583,46
588,100
603,139
605,45
618,24
628,210
643,207
647,58
650,137
651,45
661,167
666,68
667,72
674,42
724,232
733,177
734,34
744,547
748,101
754,164
782,61
789,58
792,356
824,164
855,22
880,24
884,23
899,31
933,137
940,298
955,766
968,84
976,22
993,66
1005,24
1018,45
1019,82
1024,201
1028,284
1054,26
1067,21
1076,30
1083,87
1115,37
1127,82
1153,66
1170,33
1174,228
1188,74
1189,23
1222,512
1238,97
1269,33
1279,130
1285,73
1332,28
1335,68
1361,90
1371,46
1386,213
1394,21
1463,59
1475,88
1484,74
1511,37
1512,68
1566,423
1587,352
1588,792
1616,387
1623,52
1629,463
1643,413
1644,624
1654,21
1661,39
1665,213
1695,27
1707,190
1716,272
1756,113
1812,118
1834,178
1844,375
1853,21
1855,473
1897,31
1899,65
1904,106
1911,60
1925,179
1955,78
1980,204
2003,51
2006,121
2014,221
2017,38
2019,289
2039,20
2040,35
2052,58
2074,21
2079,27
2081,431
2102,20
2104,235
2108,66
2130,38
2140,197
2152,30
2166,107
2168,57
2170,112
2182,25
2200,57
2236,82
2256,109
2270,528
2285,77
2320,327
2321,160
2336,46
2348,29
2367,584
2405,70
2423,308
2442,25
2462,48
2481,145
2483,533
2485,50
2486,33
2503,41
2519,78
2526,24
2559,25
2606,426
2613,23
2626,136
2635,26
2637,68
2645,62
2653,76
2690,60
2697,43
2700,23
2703,96
2723,75
2750,65
2789,64
2799,20
2817,24
2850,29
2894,215
2907,61
2914,369
2918,231
2926,62
2935,30
2987,42
2994,94
2995,230
2996,52
3013,85
3049,49
3055,46
3083,47
3096,29
3118,27
3135,37
3140,24
3142,38
3152,166
3165,342
3168,20
3179,577
3192,267
3205,59
3216,65
3238,77
3239,176
3249,444
3255,104
3298,40
3300,100
3303,24
3336,27
3340,147
3358,173
3364,409
3384,199
3386,139
3401,42
3409,86
3429,213
3432,69
3436,22
3455,57
3466,65
3469,284
3493,25
3515,667
3548,233
3554,307
3556,157
3557,40
3566,39
3588,95
3598,33
3605,77
3617,215
3670,59
3671,315
3691,27
3710,45
3734,59
3735,35
3749,44
3760,250
3790,28
3793,130
3835,41
3868,89
3902,21
3915,338
3944,272
3955,39
3958,112
3962,32
3964,36
3993,68
3994,50
4006,92
4007,107
4012,93
4040,218
4052,83
4062,35
4064,52
4068,47
4085,46
4104,22
4121,22
4134,28
4172,355
4174,31
4210,45
4222,2553
4232,20
4260,55
4264,82
4267,54
4280,23
4285,694
4309,423
4329,302
4332,338
4335,29
4360,76
4363,32
4374,230
4381,38
4396,32
4405,80
4408,24
4435,53
4452,68
4457,126
4459,122
4474,145
4478,55
4510,58
4512,25
4523,30
4533,140
4573,33
4587,637
4618,221
4666,216
4679,60
4690,21
4700,197
4706,72
4708,51
4745,646
4746,76
4747,23
4771,67
4784,265
4786,446
4800,35
4803,20
4808,282
4809,261
4812,123
4844,170
4845,42
4872,48
4873,32
4880,39
4890,28
4913,27
4925,20
4950,310
4952,315
4960,139
4978,354
4982,184
4992,110
5009,36
5019,127
5028,22
5034,180
5058,56
5074,436
5086,40
5087,40
5102,937
5104,133
5140,56
5157,1129
5170,25
5195,722
5196,33
5226,32
5227,110
5229,24
5235,72
5237,37
5247,122
5293,140
5298,40
5308,51
5310,74
5312,260
5322,213
5327,20
5339,25
5369,24
5441,155
5443,263
5444,122
5467,78
5484,25
5493,27
5502,23
5513,515
5526,211
5611,167
5621,433
5630,42
5635,33
5665,70
5672,86
5681,209
5692,60
5697,51
5712,128
5728,21
5729,299
5753,157
5782,58
5824,41
5828,37
5830,163
5898,88
5916,70
5938,78
5951,154
5965,110
5975,24
5981,52
5997,32
6002,588
6007,200
6010,20
6013,56
6029,48
6065,107
6071,176
6082,383
6111,703
6123,35
6135,72
6162,140
6172,64
6175,1046
6183,37
6185,21
6189,27
6195,26
6205,20
6212,73
6220,66
6247,262
6257,116
6259,35
6281,26
6299,173
6319,368
6355,76
6371,313
6391,130
6394,178
6404,44
6477,40
6489,77
6498,34
6511,143
6521,28
6536,28
6557,22
6571,305
6591,20
6598,28
6611,145
6653,20
6661,344
6668,20
6683,20
6719,2206
6728,122
6731,242
6743,594
6780,21
6794,71
6798,58
6802,35
6831,20
6841,55
6853,265
6855,22
6862,73
6871,22
6885,100
6890,51
6910,293
6914,20
6917,762
6923,23
6940,231
6951,61
6952,206
6971,78
6984,28
6994,35
7005,61
