ColdStartLimit,Method,Precision@10,Recall@10,Hit@10
3,Content-Based,0.007666666666666668,0.07666666666666666,0.07666666666666666
3,Hybrid,0.043000000000000003,0.43,0.43
3,Item-CF,0.056,0.56,0.56
3,Popularity,0.0023333333333333335,0.023333333333333334,0.023333333333333334
3,Random,0.0,0.0,0.0
3,SVD,0.007333333333333334,0.07333333333333333,0.07333333333333333
5,Content-Based,0.007333333333333334,0.07333333333333333,0.07333333333333333
5,Hybrid,0.04566666666666667,0.45666666666666667,0.45666666666666667
5,Item-CF,0.05733333333333333,0.5733333333333334,0.5733333333333334
5,Popularity,0.0023333333333333335,0.023333333333333334,0.023333333333333334
5,Random,0.0,0.0,0.0
5,SVD,0.007333333333333334,0.07333333333333333,0.07333333333333333
10,Content-Based,0.007333333333333334,0.07333333333333333,0.07333333333333333
10,Hybrid,0.04700000000000001,0.47,0.47
10,Item-CF,0.05866666666666667,0.5866666666666667,0.5866666666666667
10,Popularity,0.0023333333333333335,0.023333333333333334,0.023333333333333334
10,Random,0.0,0.0,0.0
10,SVD,0.007333333333333334,0.07333333333333333,0.07333333333333333
